quotearg_buffer,0 8964,0 73,1722008291 204498,0 242
needs_quoting,0 8938,0 121,1722008291 204413,0 415
check_nonnull,0 9158,0 25,1722008291 205167,0 81
xmalloc,0 9132,0 76,1722008291 205086,0 242
xmemdup,0 9109,0 125,1722008291 205001,0 406
xstrdup,0 9085,0 173,1722008291 204918,0 569
gobble_file,0 8916,0 363,1722008291 204335,0 1229
process_signals,0 9301,0 23,1722008291 205641,0 84
patterns_match,0 9372,0 22,1722008291 205894,0 80
patterns_match,0 9415,0 21,1722008291 206049,0 74
file_ignored,0 9349,0 109,1722008291 205809,0 391
quotearg_buffer_restyled,0 9571,0 33,1722008291 206671,0 80
quotearg_buffer,0 9543,0 103,1722008291 206506,0 335
needs_quoting,0 9506,0 172,1722008291 206417,0 633
check_nonnull,0 9807,0 32,1722008291 207525,0 114
xmalloc,0 9775,0 99,1722008291 207317,0 407
xmemdup,0 9736,0 172,1722008291 207231,0 689
xstrdup,0 9707,0 239,1722008291 207123,0 883
gobble_file,0 9480,0 496,1722008291 206283,0 1804
process_signals,0 10008,0 49,1722008291 208187,0 103
file_ignored,0 10080,0 21,1722008291 208382,0 76
process_signals,0 10122,0 22,1722008291 208535,0 78
file_ignored,0 10164,0 22,1722008291 208694,0 73
process_signals,0 10209,0 23,1722008291 208849,0 85
patterns_match,0 10279,0 23,1722008291 209101,0 85
patterns_match,0 10326,0 24,1722008291 209266,0 88
file_ignored,0 10256,0 114,1722008291 209018,0 407
quotearg_buffer_restyled,0 10466,0 25,1722008291 209742,0 79
quotearg_buffer,0 10439,0 77,1722008291 209656,0 251
needs_quoting,0 10413,0 126,1722008291 209580,0 410
check_nonnull,0 10641,0 26,1722008291 210323,0 87
xmalloc,0 10615,0 78,1722008291 210242,0 255
xmemdup,0 10591,0 127,1722008291 210162,0 418
xstrdup,0 10566,0 177,1722008291 210075,0 586
gobble_file,0 10391,0 374,1722008291 209502,0 1235
process_signals,0 10807,0 22,1722008291 210823,0 78
file_ignored,0 10851,0 22,1722008291 210978,0 83
process_signals,0 10897,0 24,1722008291 211150,0 84
patterns_match,0 10964,0 20,1722008291 211386,0 77
patterns_match,0 11006,0 21,1722008291 211541,0 74
file_ignored,0 10942,0 108,1722008291 211312,0 383
quotearg_buffer_restyled,0 11140,0 24,1722008291 212009,0 79
quotearg_buffer,0 11116,0 74,1722008291 211929,0 244
needs_quoting,0 11093,0 120,1722008291 211850,0 406
check_nonnull,0 11314,0 24,1722008291 212606,0 77
xmalloc,0 11289,0 75,1722008291 212523,0 247
xmemdup,0 11263,0 125,1722008291 212436,0 413
xstrdup,0 11239,0 175,1722008291 212342,0 588
gobble_file,0 11071,0 366,1722008291 211772,0 1235
process_signals,0 11458,0 20,1722008291 213084,0 88
patterns_match,0 11522,0 22,1722008291 213332,0 83
patterns_match,0 11564,0 21,1722008291 213493,0 77
file_ignored,0 11499,0 108,1722008291 213253,0 396
quotearg_buffer_restyled,0 11699,0 24,1722008291 213972,0 78
quotearg_buffer,0 11675,0 72,1722008291 213892,0 240
needs_quoting,0 11652,0 117,1722008291 213812,0 395
check_nonnull,0 11869,0 26,1722008291 214541,0 86
xmalloc,0 11843,0 78,1722008291 214444,0 270
xmemdup,0 11818,0 128,1722008291 214365,0 443
xstrdup,0 11792,0 180,1722008291 214284,0 611
gobble_file,0 11630,0 365,1722008291 213736,0 1243
process_signals,0 12017,0 21,1722008291 215056,0 77
file_ignored,0 12062,0 22,1722008291 215219,0 79
process_signals,0 12108,0 21,1722008291 215383,0 74
file_ignored,0 12151,0 21,1722008291 215534,0 78
process_signals,0 12193,0 22,1722008291 215694,0 81
patterns_match,0 12260,0 21,1722008291 215936,0 77
patterns_match,0 12301,0 21,1722008291 216085,0 78
file_ignored,0 12237,0 107,1722008291 215852,0 388
quotearg_buffer_restyled,0 12438,0 24,1722008291 216583,0 81
quotearg_buffer,0 12415,0 71,1722008291 216501,0 241
needs_quoting,0 12390,0 119,1722008291 216413,0 412
check_nonnull,0 12611,0 29,1722008291 217160,0 94
xmalloc,0 12585,0 80,1722008291 217078,0 255
xmemdup,0 12561,0 130,1722008291 216998,0 422
xstrdup,0 12535,0 180,1722008291 216912,0 588
gobble_file,0 12367,0 372,1722008291 216324,0 1253
process_signals,0 12763,0 23,1722008291 217665,0 78
patterns_match,0 12828,0 22,1722008291 217895,0 83
patterns_match,0 12871,0 25,1722008291 218052,0 80
file_ignored,0 12807,0 109,1722008291 217821,0 384
quotearg_buffer_restyled,0 13010,0 25,1722008291 218532,0 80
quotearg_buffer,0 12988,0 74,1722008291 218457,0 237
needs_quoting,0 12961,0 122,1722008291 218375,0 397
check_nonnull,0 13186,0 25,1722008291 219093,0 75
xmalloc,0 13161,0 78,1722008291 219015,0 233
xmemdup,0 13136,0 128,1722008291 218937,0 390
xstrdup,0 13110,0 179,1722008291 218856,0 552
gobble_file,0 12937,0 374,1722008291 218285,0 1197
process_signals,0 13333,0 22,1722008291 219557,0 72
rpl_free,0 13383,0 19,1722008291 219757,0 66
xreallocarray,0 13450,0 23,1722008291 219977,0 85
xnmalloc,0 13427,0 71,1722008291 219903,0 246
initialize_ordering_vector,0 13520,0 19,1722008291 220228,0 70
get_quoting_style,0 13650,0 18,1722008291 220664,0 185
mbsnwidth,0 13694,0 21,1722008291 221248,0 251
quote_name_buf,0 13624,0 120,1722008291 220588,0 1044
quote_name_width,0 13602,0 163,1722008291 220513,0 1229
fileinfo_name_width,0 13581,0 249,1722008291 220442,0 1609
get_quoting_style,0 13932,0 7,1722008291 222729,0 10
mbsnwidth,0 13946,0 8,1722008291 222773,0 12
quote_name_buf,0 13920,0 39,1722008291 222712,0 81
quote_name_width,0 13873,0 93,1722008291 222335,0 468
fileinfo_name_width,0 13852,0 119,1722008291 222236,0 575
get_quoting_style,0 13991,0 7,1722008291 222845,0 10
mbsnwidth,0 14005,0 6,1722008291 222865,0 9
quote_name_buf,0 13985,0 30,1722008291 222835,0 47
quote_name_width,0 13980,0 40,1722008291 222827,0 62
